paperId,citationCount,influentialCitationCount,doi,authorId,name,paperCount,citationCount,hIndex
612cbda4bbc3ea763e692b4edb1279c87daa463a,19,0,10.1016/j.tics.2016.03.002,2304881,M. Oaksford,206.0,8510.0,42.0
612cbda4bbc3ea763e692b4edb1279c87daa463a,19,0,10.1016/j.tics.2016.03.002,2072037580,Simon Hall,3.0,34.0,3.0
59e56cfec1b5a77c416b1171cc3e15aaaf2da540,41,0,10.1016/j.tics.2015.12.009,144131599,Roel M. Willems,135.0,4616.0,34.0
59e56cfec1b5a77c416b1171cc3e15aaaf2da540,41,0,10.1016/j.tics.2015.12.009,1800077,A. Jacobs,271.0,14955.0,69.0
37091895a96e3bffb80435d77b86c9c64f86443a,156,9,10.1016/j.tics.2015.05.006,3312711,T. Hannagan,34.0,463.0,13.0
37091895a96e3bffb80435d77b86c9c64f86443a,156,9,10.1016/j.tics.2015.05.006,2530342,A. Amedi,162.0,9303.0,44.0
37091895a96e3bffb80435d77b86c9c64f86443a,156,9,10.1016/j.tics.2015.05.006,3380448,L. Cohen,199.0,34274.0,83.0
37091895a96e3bffb80435d77b86c9c64f86443a,156,9,10.1016/j.tics.2015.05.006,1397626026,G. Dehaene-Lambertz,162.0,15055.0,54.0
37091895a96e3bffb80435d77b86c9c64f86443a,156,9,10.1016/j.tics.2015.05.006,1787332,S. Dehaene,615.0,92526.0,151.0
1453627d95967253706c91ab4514b1ee3190b914,125,9,10.1016/j.tics.2014.09.002,144781145,S. Scott,239.0,17795.0,64.0
1453627d95967253706c91ab4514b1ee3190b914,125,9,10.1016/j.tics.2014.09.002,3915467,N. Lavan,68.0,611.0,14.0
1453627d95967253706c91ab4514b1ee3190b914,125,9,10.1016/j.tics.2014.09.002,3476662,Sinead H. Y. Chen,10.0,166.0,5.0
1453627d95967253706c91ab4514b1ee3190b914,125,9,10.1016/j.tics.2014.09.002,2479288,C. McGettigan,118.0,2593.0,24.0
ac7b32615240d7862f2d9bea2a3962108efa02d6,74,4,10.1016/j.tics.2014.06.006,2759821,E. Bonawitz,105.0,2278.0,21.0
ac7b32615240d7862f2d9bea2a3962108efa02d6,74,4,10.1016/j.tics.2014.06.006,145828326,S. Denison,57.0,1001.0,15.0
ac7b32615240d7862f2d9bea2a3962108efa02d6,74,4,10.1016/j.tics.2014.06.006,1799860,T. Griffiths,516.0,38599.0,87.0
ac7b32615240d7862f2d9bea2a3962108efa02d6,74,4,10.1016/j.tics.2014.06.006,2222423,A. Gopnik,269.0,19792.0,68.0
a50859d38152391f14cfe1a0fe8261d552b42fdc,72,1,10.1016/j.tics.2014.05.001,2045579,Matthew K. Leonard,47.0,1376.0,22.0
a50859d38152391f14cfe1a0fe8261d552b42fdc,72,1,10.1016/j.tics.2014.05.001,2362670,E. Chang,365.0,21361.0,71.0
da3b198f2f07e10ad5a5edfb5db6bc7f277f0ee5,51,0,10.1016/j.tics.2014.04.011,145505519,K. Mills,80.0,4538.0,22.0
be2b9d0795541e827404d00d786c721cc23130ba,369,4,10.1016/j.tics.2014.02.010,145441750,J. Ioannidis,1419.0,189316.0,187.0
be2b9d0795541e827404d00d786c721cc23130ba,369,4,10.1016/j.tics.2014.02.010,3057626,M. Munafo,1075.0,49800.0,90.0
be2b9d0795541e827404d00d786c721cc23130ba,369,4,10.1016/j.tics.2014.02.010,1382469815,P. Fusar-Poli,579.0,29723.0,92.0
be2b9d0795541e827404d00d786c721cc23130ba,369,4,10.1016/j.tics.2014.02.010,2862527,Brian A. Nosek,617.0,55653.0,86.0
be2b9d0795541e827404d00d786c721cc23130ba,369,4,10.1016/j.tics.2014.02.010,144513632,S. David,122.0,4834.0,36.0
8a47fe7e67a02c0a3df606675777d7df87afd19f,1420,73,10.1016/j.tics.2013.12.003,2636222,A. Aron,144.0,20400.0,56.0
8a47fe7e67a02c0a3df606675777d7df87afd19f,1420,73,10.1016/j.tics.2013.12.003,1854466,T. Robbins,1332.0,161785.0,224.0
8a47fe7e67a02c0a3df606675777d7df87afd19f,1420,73,10.1016/j.tics.2013.12.003,145625277,R. Poldrack,526.0,60952.0,123.0
e0a0657991b8305bc41a15bfc76e7e94a47b4b21,718,42,10.1016/j.tics.2013.06.006,2880391,S. Luck,367.0,39813.0,93.0
e0a0657991b8305bc41a15bfc76e7e94a47b4b21,718,42,10.1016/j.tics.2013.06.006,39500842,E. Vogel,263.0,23461.0,58.0
aa3edc1a936b0a3244ea0717111e64502f50f750,84,6,10.1016/j.tics.2013.05.004,2139306,I. Berent,137.0,2882.0,26.0
f488a6e9b0e144632a8b9bb2a0f02be1d0028b60,11,0,10.1016/j.tics.2013.04.011,37419733,Scott M. Rennie,8.0,100.0,4.0
f488a6e9b0e144632a8b9bb2a0f02be1d0028b60,11,0,10.1016/j.tics.2013.04.011,31986757,Marta M. Moita,1.0,11.0,1.0
f488a6e9b0e144632a8b9bb2a0f02be1d0028b60,11,0,10.1016/j.tics.2013.04.011,1855194,Z. Mainen,141.0,13580.0,51.0
8924f98c32685568e8cb4ef5830e259f989e2c04,555,41,10.1016/j.tics.2012.09.006,27516716,Daniel P. Kennedy,75.0,7097.0,30.0
8924f98c32685568e8cb4ef5830e259f989e2c04,555,41,10.1016/j.tics.2012.09.006,46306086,R. Adolphs,397.0,50444.0,109.0
f95df6c4f1b3524dff3fce92928fedccbe058f56,23,1,10.1016/j.tics.2012.05.004,1398130477,E. Zion‐Golumbic,23.0,688.0,12.0
f95df6c4f1b3524dff3fce92928fedccbe058f56,23,1,10.1016/j.tics.2012.05.004,31983588,C. Schroeder,262.0,26735.0,81.0
f7d7322d8aa96af5c7c558306cc9b2d777fd3473,1,0,10.1016/j.tics.2012.03.007,2568258,B. Conway,103.0,3483.0,30.0
